src_id,dst_id,score
STITCH:CID100006436,UMLS:C0239295,0.9994664370293408
STITCH:CID100051634,UMLS:C0017178,0.9994618631934253
STITCH:CID100005409,UMLS:C0009782,0.9994593950129431
STITCH:CID100077992,UMLS:C0037036,0.999452084511859
STITCH:CID100004725,UMLS:C0011206,0.9994460792134922
STITCH:CID100060834,UMLS:C0020676,0.9994441854462738
STITCH:CID105353894,UMLS:C0027497,0.9994439207518323
STITCH:CID100004499,UMLS:C0042267,0.9994435466228806
STITCH:CID100002274,UMLS:C0019080,0.9994362882975714
STITCH:CID100002369,UMLS:C0409974,0.9994337269128506
STITCH:CID100003741,UMLS:C0028778,0.9994322872256912
STITCH:CID100003793,UMLS:C0039231,0.9994074950927722
STITCH:CID100104778,UMLS:C0033774,0.9994012691501883
STITCH:CID100134780,UMLS:C0003862,0.9993781249930644
STITCH:CID100157921,UMLS:C0948299,0.9993773399239966
STITCH:CID100004259,UMLS:C0700345,0.9993667233658708
STITCH:CID100003494,UMLS:C0392676,0.9993549929704149
STITCH:CID100004673,UMLS:C0917801,0.9993476477542339
STITCH:CID100005514,UMLS:C0030319,0.9993468054637148
STITCH:CID100057469,UMLS:C0156353,0.999342566797625
STITCH:CID100071360,UMLS:C0004936,0.9993231914543765
STITCH:CID100006476,UMLS:C0019521,0.9993167449810968
STITCH:CID100005391,UMLS:C0022346,0.9993007238811588
STITCH:CID100054786,UMLS:C0033774,0.9992818818378097
STITCH:CID100002159,UMLS:C0043352,0.9992752648574156
STITCH:CID100206527,UMLS:C0018794,0.999265701006191
STITCH:CID100004091,UMLS:C0018681,0.9992461619554759
STITCH:CID100068844,UMLS:C0344232,0.9992372569480794
STITCH:CID100216416,UMLS:C0595877,0.9992078331871049
STITCH:CID100000937,UMLS:C0006444,0.9992016939498074
STITCH:CID100004675,UMLS:C0020649,0.9991982874074841
STITCH:CID100069512,UMLS:C0231919,0.9991818055111883
STITCH:CID100003826,UMLS:C0080274,0.9991589820173669
STITCH:CID100072466,UMLS:C0041582,0.9991421685675523
STITCH:CID100003743,UMLS:C0018965,0.9991375125646315
STITCH:CID100005650,UMLS:C0497247,0.999137445444068
STITCH:CID100148191,UMLS:C0042029,0.9991290419725033
STITCH:CID100002478,UMLS:C0948484,0.9991265069317732
STITCH:CID100002249,UMLS:C0028084,0.999106675073939
STITCH:CID116137271,UMLS:C0040046,0.9990816788426325
STITCH:CID100004585,UMLS:C0151765,0.9990721495108507
STITCH:CID100093860,UMLS:C0017565,0.999062830653635
STITCH:CID100005401,UMLS:C0043352,0.9990488512369534
STITCH:CID100056959,UMLS:C0018799,0.9990335207506982
STITCH:CID105462337,UMLS:C0042023,0.999033386702222
STITCH:CID100002958,UMLS:C0029118,0.9990313244984135
STITCH:CID100004989,UMLS:C0232487,0.9990202007447649
STITCH:CID100005155,UMLS:C0013395,0.9989686785958369
STITCH:CID100005470,UMLS:C0877338,0.9989603056537165
STITCH:CID100115237,UMLS:C0042373,0.9989595543925575
STITCH:CID100213039,UMLS:C0151602,0.998936541860283
STITCH:CID100040976,UMLS:C0178298,0.9989297075382977
STITCH:CID100005578,UMLS:C0002878,0.9989170761512405
STITCH:CID100003385,UMLS:C0234215,0.9989155260336254
STITCH:CID100003738,UMLS:C0018524,0.9989152033750827
STITCH:CID100004173,UMLS:C0009676,0.9988981596104456
STITCH:CID100000942,UMLS:C0702166,0.9988962222154762
STITCH:CID100005372,UMLS:C0700572,0.9988926198499768
